시설명,시도,시군구,총길이,총폭,경간수,최대경간장,상부구조,설계하중,교통량,준공년도,준공후경과년수
개화교,서울특별시,강서구,360.6,32.2,12.0,30.1,PSCI거더교,DB-24,18486.0,2000,23
개화육교(상행선),서울특별시,강서구,430.1,16.2,8.0,70.0,강박스거더교,DB-24,18486.0,2000,23
개화육교(하행선),경기도,김포시,465.1,16.2,9.0,70.0,강박스거더교,DB-24,18486.0,2000,23
거모1교(강릉),경기도,시흥시,50.1,15.6,1.0,50.1,강박스거더교,DB-24,63701.0,1994,29
거모1교(인천),경기도,시흥시,50.1,15.6,1.0,50.1,강박스거더교,DB-24,63701.0,1994,29
거모2교(강릉),경기도,시흥시,10.0,15.6,1.0,10.0,라멘교,DB-24,63701.0,1994,29
거모2교(인천),경기도,시흥시,10.0,15.6,1.0,10.0,라멘교,DB-24,63701.0,1994,29
거모3교(강릉),경기도,시흥시,395.2,16.8,9.0,45.0,PSC박스거더교,DB-24,56092.0,1994,29
거모3교(인천),경기도,시흥시,395.2,16.8,9.0,45.0,PSC박스거더교,DB-24,56092.0,1994,29
거모4교(강릉),경기도,시흥시,210.0,15.8,7.0,30.0,PSCI거더교,DB-24,56092.0,1994,29
거모4교(인천),경기도,시흥시,210.0,15.8,7.0,30.0,PSCI거더교,DB-24,56092.0,1994,29
거모5교,경기도,시흥시,30.0,31.4,1.0,30.0,PSCI거더교,DB-24,32968.0,2013,10
거모6교,경기도,시흥시,12.0,31.7,1.0,12.0,라멘교,DB-24,32968.0,2013,10
거물대천교,경기도,김포시,45.0,24.3,1.0,45.0,PSCI거더교,DB-24,13027.0,2017,6
거여고가교(구리0),서울특별시,송파구,962.8,12.0,20.0,50.1,PSC박스거더교,DB-24,108430.0,1991,32
거여고가교(구리1),서울특별시,송파구,962.8,12.0,20.0,50.1,PSC박스거더교,DB-24,108430.0,1991,32
거여고가교(판교),서울특별시,송파구,962.8,19.1,20.0,50.1,PSC박스거더교,DB-24,108430.0,2002,21
건건교(목포),경기도,안산시 상록구,265.3,16.1,5.0,55.0,강박스거더교,DB-24,58390.0,1996,27
건건교(서울),경기도,안산시 상록구,265.3,16.1,5.0,55.0,강박스거더교,DB-24,58390.0,1996,27
건업1교(광주),경기도,광주시,70.1,12.4,2.0,35.0,PSCI거더교,DB-24,28346.0,2016,7
건업1교(원주),경기도,광주시,70.1,15.4,2.0,35.0,PSCI거더교,DB-24,28346.0,2016,7
건업2교(광주),경기도,광주시,330.4,12.7,10.0,35.0,PSCI거더교,DB-24,28346.0,2016,7
건업2교(원주),경기도,광주시,280.3,12.6,8.0,35.0,PSCI거더교,DB-24,28346.0,2016,7
검단양촌IC R-A1교,경기도,김포시,80.0,22.8,2.0,40.0,강박스거더교,DB-24,35509.0,2017,6
검단천교,경기도,김포시,90.0,24.3,2.0,45.0,PSCI거더교,DB-24,35509.0,2017,6
경기광주JCT Ramp-A1교,경기도,광주시,15.0,9.0,1.0,15.0,라멘교,DB-24,28346.0,2016,7
경기광주JCT Ramp-A2교,경기도,광주시,80.0,12.6,2.0,40.0,PSCI거더교,DB-24,28346.0,2016,7
경기광주JCT Ramp-A3교,경기도,광주시,196.0,12.6,4.0,58.0,강박스거더교,DB-24,28346.0,2016,7
경기광주JCT Ramp-A4교,경기도,광주시,55.0,12.6,1.0,55.0,강박스거더교,DB-24,28346.0,2016,7
경기광주JCT Ramp-B1교,경기도,광주시,40.0,10.2,1.0,40.0,PSCI거더교,DB-24,28346.0,2016,7
경기광주JCT Ramp-B2교,경기도,광주시,60.0,10.3,2.0,30.0,PSCI거더교,DB-24,28346.0,2016,7
경기광주JCT Ramp-C1교,경기도,광주시,195.0,9.0,4.0,65.0,강박스거더교,DB-24,28346.0,2016,7
경기광주JCT Ramp-C2교,경기도,광주시,50.0,9.1,2.0,25.0,PSC중공슬래브교,DB-24,28346.0,2016,7
경기광주JCT Ramp-D교,경기도,광주시,195.0,9.0,4.0,65.0,강박스거더교,DB-24,28346.0,2016,7
경안천1교(이천),경기도,광주시,271.3,12.6,9.0,30.2,PSCI거더교,DB-24,39862.0,2001,22
경안천1교(하남),경기도,광주시,271.3,12.6,9.0,30.2,PSCI거더교,DB-24,39862.0,2001,22
경안천교(강릉0),경기도,용인시,150.0,12.1,5.0,30.0,PSCI거더교,DB-24,77863.0,1994,29
경안천교(강릉1),경기도,용인시,150.0,7.2,5.0,30.0,PSCI거더교,DB-24,77863.0,2011,12
경안천교(남이),경기도,광주시,300.0,12.4,10.0,30.0,PSCI거더교,DB-24,28639.0,1987,36
경안천교(인천0),경기도,용인시,150.0,12.1,5.0,30.0,PSCI거더교,DB-24,77863.0,1994,29
경안천교(인천1),경기도,용인시,150.0,7.4,5.0,30.0,PSCI거더교,DB-24,77863.0,2011,12
경안천교(하남),경기도,광주시,300.0,12.4,10.0,30.0,PSCI거더교,DB-24,28639.0,1987,36
계수1교(일산),경기도,시흥시,119.8,27.0,4.0,30.0,PSCI거더교,DB-24,82904.0,1999,24
계수1교(판교),경기도,시흥시,120.1,25.5,4.0,30.1,PSCI거더교,DB-24,82904.0,1999,24
계수2교(일산),경기도,시흥시,150.8,23.4,5.0,30.2,PSCI거더교,DB-24,82904.0,1999,24
계수2교(판교),경기도,시흥시,150.8,19.3,5.0,30.2,PSCI거더교,DB-24,82904.0,1999,24
계수3교(일산),경기도,시흥시,30.3,19.3,1.0,30.3,PSCI거더교,DB-24,82904.0,1999,24
계수3교(판교),경기도,시흥시,30.2,19.3,1.0,30.2,PSCI거더교,DB-24,82904.0,1999,24
계수4교(일산),경기도,시흥시,180.1,19.3,5.0,45.0,강박스거더교,DB-24,82904.0,1999,24
계수4교(판교),경기도,시흥시,180.1,19.3,5.0,45.0,강박스거더교,DB-24,82904.0,1999,24
계수5교(일산),경기도,시흥시,15.5,27.0,1.0,15.5,라멘교,DB-24,82904.0,1999,24
계수5교(판교),경기도,시흥시,15.5,27.0,1.0,15.5,라멘교,DB-24,82904.0,1999,24
계신1교(광주),경기도,여주시,135.0,12.4,3.0,45.0,PSCI거더교,DB-24,26153.0,2016,7
계신1교(원주),경기도,여주시,135.0,15.6,3.0,45.0,PSCI거더교,DB-24,26153.0,2016,7
계신2교(광주),경기도,여주시,45.0,11.9,1.0,45.0,PSCI거더교,DB-24,26153.0,2016,7
계신2교(원주),경기도,여주시,45.0,12.4,1.0,45.0,PSCI거더교,DB-24,26153.0,2016,7
계신교(양평),경기도,여주군,13.0,15.6,1.0,13.0,라멘교,DB-24,7736.0,2012,11
계신교(창원),경기도,여주군,13.0,12.5,1.0,13.0,라멘교,DB-24,7736.0,2012,11
계장천교(양평),경기도,여주군,45.0,12.5,1.0,45.0,PSCI거더교,DB-24,7736.0,2012,11
계장천교(창원),경기도,여주군,45.0,12.0,1.0,45.0,PSCI거더교,DB-24,7736.0,2012,11
고기교(서울),경기도,용인시 수지구,70.4,14.7,2.0,35.2,PSCI거더교,DB-24,61744.0,2009,14
고기교(용인),경기도,용인시 수지구,70.4,14.7,2.0,35.2,PSCI거더교,DB-24,61744.0,2009,14
고담교(강릉),경기도,이천시,24.0,28.3,2.0,12.0,라멘교,DB-24,64988.0,2003,20
고담교(인천),경기도,이천시,24.0,27.3,2.0,12.0,라멘교,DB-24,64988.0,2003,20
고등IC1교,경기도,성남시 수정구,170.0,15.9,3.0,60.0,강박스거더교,DB-24,31073.0,2009,14
고등IC2교,경기도,성남시 수정구,45.0,7.4,1.0,45.0,강박스거더교,DB-24,31073.0,2009,14
고등교(서울),경기도,성남시 수정구,370.0,10.9,7.0,60.0,강박스거더교,DB-24,31073.0,2009,14
고등교(용인),경기도,성남시 수정구,430.0,10.9,9.0,60.0,강박스거더교,DB-24,31073.0,2009,14
고렴1교(제천),경기도,평택시,15.0,19.4,1.0,15.0,라멘교,DB-24,42307.0,2002,21
고렴1교(평택),경기도,평택시,15.0,19.4,1.0,15.0,라멘교,DB-24,42307.0,2002,21
고렴2교(제천),경기도,평택시,24.0,18.9,2.0,12.0,라멘교,DB-24,42307.0,2002,21
고렴2교(평택),경기도,평택시,24.0,18.9,2.0,12.0,라멘교,DB-24,42307.0,2002,21
고렴3교,경기도,평택시,7.0,38.1,1.0,7.0,라멘교,DB-24,42307.0,2002,21
고림교(강릉0),경기도,용인시 처인구,30.0,12.1,1.0,30.0,프리플렉스거더교,DB-24,68827.0,1994,29
고림교(강릉1),경기도,용인시,30.0,7.4,1.0,30.0,프리플렉스거더교,DB-24,68827.0,2011,12
고림교(인천0),경기도,용인시,30.0,12.1,1.0,30.0,프리플렉스거더교,DB-24,68827.0,1994,29
고림교(인천1),경기도,용인시,30.0,7.2,1.0,30.0,프리플렉스거더교,DB-24,68827.0,2011,12
고매교(부산),경기도,용인시 기흥구,45.0,23.4,2.0,22.5,RC중공슬래브교,DB-24,96020.0,1993,30
고매교(서울),경기도,용인시 기흥구,45.0,36.8,2.0,22.5,RC중공슬래브교,DB-24,96020.0,1993,30
고모천교(구리),경기도,포천시,60.1,24.3,1.0,60.1,강박스거더교,DB-24,23013.0,2017,6
고모천교(포천),경기도,포천시,60.1,24.3,1.0,60.1,강박스거더교,DB-24,23013.0,2017,6
고양IC1교(R-A교),경기도,고양시 덕양구,120.0,15.6,3.0,50.0,강박스거더교,DB-24,74977.0,2006,17
고양IC교(일산),경기도,고양시 덕양구,55.0,25.2,1.0,55.0,강박스거더교,DB-24,76063.0,2006,17
고양IC교(퇴계원),경기도,고양시 덕양구,55.0,19.1,1.0,55.0,강박스거더교,DB-24,76063.0,2006,17
고잔1교(목포0),경기도,평택시,30.0,15.7,1.0,30.0,PSCI거더교,DB-24,45997.0,1996,27
고잔1교(목포1),경기도,평택시,30.0,5.7,1.0,30.0,PSCI거더교,DB-24,45997.0,2002,21
고잔1교(서울0),경기도,평택시,30.0,15.7,1.0,30.0,PSCI거더교,DB-24,45997.0,1996,27
고잔1교(서울1),경기도,평택시,30.0,5.7,1.0,30.0,PSCI거더교,DB-24,45997.0,2002,21
고잔2교(목포),경기도,평택시,30.0,15.7,1.0,30.0,PSCI거더교,DB-24,45997.0,1996,27
고잔2교(서울),경기도,평택시,30.0,15.7,1.0,30.0,PSCI거더교,DB-24,45997.0,1996,27
고잔3교(목포),경기도,평택시,30.0,3.2,2.0,15.0,라멘교,DB-24,45997.0,2013,10
고잔3교(목포0),경기도,평택시,30.0,15.7,2.0,15.0,라멘교,DB-24,45997.0,1996,27
고잔3교(목포1),경기도,평택시,30.0,5.7,2.0,15.0,라멘교,DB-24,45997.0,2002,21
고잔3교(서울),경기도,평택시,30.0,11.7,2.0,15.0,라멘교,DB-24,45997.0,2013,10
고잔3교(서울0),경기도,평택시,30.0,15.7,2.0,15.0,라멘교,DB-24,45997.0,1996,27
고잔3교(서울1),경기도,평택시,30.0,5.7,2.0,15.0,라멘교,DB-24,45997.0,2002,21
고잔4교(목포),경기도,평택시,15.0,15.7,1.0,15.0,라멘교,DB-24,45997.0,1996,27
고잔4교(목포),경기도,평택시,15.0,15.7,1.0,15.0,라멘교,DB-24,45997.0,1996,27
고잔4교(서울),경기도,평택시,15.0,3.6,1.0,15.0,라멘교,DB-24,45997.0,2013,10
고잔4교(서울0),경기도,평택시,15.0,15.7,1.0,15.0,라멘교,DB-24,45997.0,1996,27
고잔4교(서울1),경기도,평택시,15.0,5.1,1.0,15.0,라멘교,DB-24,45997.0,2019,4
고잔5교(목포),경기도,평택시,15.0,3.1,1.0,15.0,라멘교,DB-24,54525.0,2013,10
고잔5교(목포0),경기도,평택시,15.0,15.7,1.0,15.0,라멘교,DB-24,54525.0,1996,27
고잔5교(목포1),경기도,평택시,15.0,5.6,1.0,15.0,라멘교,DB-24,54525.0,2019,4
고잔5교(서울0),경기도,평택시,15.0,15.7,1.0,15.0,라멘교,DB-24,54525.0,1996,27
고잔5교(서울1),경기도,평택시,15.0,9.4,1.0,15.0,라멘교,DB-24,54525.0,2019,4
고잔6교(목포0),경기도,평택시,15.0,15.7,1.0,15.0,라멘교,DB-24,54525.0,1996,27
고잔6교(목포1),경기도,평택시,15.0,9.2,1.0,15.0,라멘교,DB-24,54525.0,2019,4
고잔6교(서울0),경기도,평택시,15.0,15.7,1.0,15.0,라멘교,DB-24,54525.0,1996,27
고잔6교(서울1),경기도,평택시,15.0,9.4,1.0,15.0,라멘교,DB-24,54525.0,2019,4
고잔교(시흥),경기도,평택시,12.0,6.0,1.0,12.0,라멘교,DB-24,28589.0,2013,10
고잔교(제천),경기도,평택시,12.0,19.9,1.0,12.0,라멘교,DB-24,42307.0,2002,21
고잔교(평택),경기도,평택시,12.0,15.8,1.0,12.0,라멘교,DB-24,42307.0,2002,21
고정1교,경기도,화성시,15.0,24.5,1.0,15.0,라멘교,DB-24,38602.0,2013,10
고정2교,경기도,화성시,80.0,24.3,2.0,40.0,PSCI거더교,DB-24,38602.0,2013,10
고정3교,경기도,화성시,13.2,24.3,1.0,13.2,라멘교,DB-24,38602.0,2013,10
고척1교(이천),경기도,이천군,60.0,13.1,1.0,60.0,아치교,DB-24,27962.0,2001,22
고척1교(하남),경기도,이천시,60.0,13.1,1.0,60.0,아치교,DB-24,27962.0,2001,22
고척2교(이천),경기도,이천시,60.2,13.6,1.0,60.2,아치교,DB-24,27962.0,2001,22
고척2교(하남),경기도,이천시,60.2,13.6,1.0,60.2,아치교,DB-24,27962.0,2001,22
고척3교(이천),경기도,이천시,12.0,12.2,1.0,12.0,라멘교,DB-24,27962.0,2001,22
고척3교(하남),경기도,이천시,12.0,12.2,1.0,12.0,라멘교,DB-24,27962.0,2001,22
고척교(남이),경기도,이천시,12.0,12.2,1.0,12.0,라멘교,DB-24,22326.0,2001,22
고척교(하남),경기도,이천시,12.0,12.2,1.0,12.0,라멘교,DB-24,22326.0,2001,22
곤지암1육교(남이),경기도,광주시,12.0,27.7,1.0,12.0,라멘교,DB-24,25113.0,1987,36
곤지암1육교(하남0),경기도,광주시,12.0,13.6,1.0,12.0,라멘교,DB-24,25113.0,1987,36
곤지암1육교(하남1),경기도,광주시,12.0,8.0,1.0,12.0,라멘교,DB-24,25113.0,1987,36
곤지암2육교(남이),경기도,광주시,55.0,15.4,3.0,25.0,RC중공슬래브교,DB-24,25113.0,1987,36
곤지암2육교(하남),경기도,광주시,55.0,15.4,3.0,25.0,RC중공슬래브교,DB-24,25113.0,1987,36
곤지암3육교,경기도,광주시,70.0,16.6,4.0,20.0,RC중공슬래브교,DB-24,25113.0,1987,36
곤지암교(이천),경기도,광주시,275.0,12.2,6.0,50.0,강박스거더교,DB-24,39862.0,2001,22
곤지암교(하남),경기도,광주시,245.0,12.2,5.0,55.0,강박스거더교,DB-24,39862.0,2001,22
곤지암천1교(이천),경기도,광주시,150.0,12.2,5.0,30.0,PSCI거더교,DB-24,39862.0,2001,22
곤지암천1교(하남),경기도,광주시,150.0,12.2,5.0,30.0,PSCI거더교,DB-24,39862.0,2001,22
곤지암천교(남이),경기도,광주시,150.0,11.9,5.0,30.0,PSC중공슬래브교,DB-24,25113.0,1987,36
곤지암천교(하남),경기도,광주시,150.0,11.9,5.0,30.0,PSC중공슬래브교,DB-24,25113.0,1987,36
공도육교(부산0),경기도,평택시,40.0,22.9,1.0,40.0,프리플렉스거더교,DB-24,94892.0,1993,30
공도육교(부산1),경기도,평택시,40.0,7.6,1.0,40.0,프리플렉스거더교,DB-24,94892.0,2009,14
공도육교(서울0),경기도,평택시,40.0,19.3,1.0,40.0,프리플렉스거더교,DB-24,94892.0,1993,30
공도육교(서울1),경기도,평택시,40.0,7.8,1.0,40.0,프리플렉스거더교,DB-24,94892.0,2009,14
공릉천1교(일산),경기도,고양시 덕양구,289.8,19.6,6.0,50.0,강박스거더교,DB-24,75781.0,2006,17
공릉천1교(퇴계원),경기도,고양시 덕양구,289.8,19.0,6.0,50.0,강박스거더교,DB-24,75781.0,2006,17
공릉천2교(일산),경기도,고양시 덕양구,134.0,19.4,2.0,67.0,강박스거더교,DB-24,75781.0,2006,17
공릉천2교(퇴계원),경기도,고양시 덕양구,134.0,19.4,2.0,67.0,강박스거더교,DB-24,75781.0,2006,17
공릉천3교(일산),경기도,고양시 덕양구,190.0,19.6,4.0,50.0,강박스거더교,DB-24,75781.0,2006,17
공릉천3교(퇴계원),경기도,고양시 덕양구,240.0,23.7,5.0,50.0,강박스거더교,DB-24,75781.0,2006,17
공릉천4교(일산),경기도,고양시 덕양구,160.0,19.4,3.0,60.0,강박스거더교,DB-24,83467.0,2006,17
공릉천4교(퇴계원),경기도,고양시 덕양구,160.0,19.4,3.0,60.0,강박스거더교,DB-24,83467.0,2006,17
공세1교(부산),경기도,용인시 기흥구,35.0,23.4,3.0,13.0,RC슬래브교,DB-24,96020.0,1993,30
공세1교(서울0),경기도,용인시 기흥구,35.0,19.7,3.0,13.0,RC슬래브교,DB-24,96020.0,1993,30
공세1교(서울1),경기도,용인시 기흥구,35.0,5.2,3.0,13.0,RC슬래브교,DB-24,96020.0,2010,13
공세2교(부산),경기도,용인시 기흥구,30.5,23.4,1.0,30.5,프리플렉스거더교,DB-24,96020.0,1993,30
공세2교(서울0),경기도,용인시 기흥구,30.5,19.3,1.0,30.5,프리플렉스거더교,DB-24,96020.0,1993,30
공세2교(서울1),경기도,용인시 기흥구,30.5,4.4,1.0,30.5,프리플렉스거더교,DB-24,96020.0,2010,13
공세육교(부산),경기도,용인시 기흥구,30.0,23.4,1.0,30.0,프리플렉스거더교,DB-24,96020.0,1993,30
공세육교(서울),경기도,용인시 기흥구,30.0,19.3,1.0,30.0,프리플렉스거더교,DB-24,96020.0,1993,30
공수골교(서울),경기도,양주시,120.0,12.3,3.0,50.0,강박스거더교,DB-24,9722.0,2017,6
공수골교(양주),경기도,양주시,120.0,15.9,3.0,50.0,강박스거더교,DB-24,9722.0,2017,6
과림1교(성남),경기도,시흥시,50.0,15.6,1.0,50.0,강박스거더교,DB-24,68663.0,1994,29
과림1교(인천),경기도,시흥시,50.0,15.6,1.0,50.0,강박스거더교,DB-24,68663.0,1994,29
과림2교(성남),경기도,시흥시,10.0,15.6,1.0,10.0,라멘교,DB-24,68663.0,1994,29
과림2교(인천),경기도,시흥시,10.0,15.6,1.0,10.0,라멘교,DB-24,68663.0,1994,29
관리천교(평택),경기도,평택시,80.0,19.0,2.0,40.3,PSCI거더교,DB-24,44064.0,2009,14
관리천교(화성),경기도,평택시,80.0,15.8,2.0,40.0,PSCI거더교,DB-24,44064.0,2009,14
광교IC1교,경기도,수원시 영통구,16.0,10.0,1.0,16.0,라멘교,DB-24,65756.0,2009,14
광교IC2교,경기도,수원시 영통구,45.0,7.9,1.0,45.0,강박스거더교,DB-24,65756.0,2013,10
광교IC교,경기도,용인시 수지구,63.5,11.6,1.0,63.5,강박스거더교,DB-24,65756.0,2009,14
광교교(강릉0),경기도,수원시 장안구,210.1,12.0,7.0,30.0,PSCI거더교,DB-24,82280.0,1991,32
