교량명,시군구명,최종안전점검결과,준공후경과년수,시설물종별등급구분,교량시작점위도,교량시작점경도
남방교,양주시,B,27,기타,37.771079,127.028273
노촌말교,양주시,B,22,3,37.846022,127.080157
능선교,고양시 덕양구,B,20,3,37.675795,126.912675
대오산교,양주시,C,22,3,37.796359,126.994438
대흥교,양주시,B,23,3,37.85852,126.991862
덕도교,양주시,A,16,3,37.846893,126.965322
돌모루교,양주시,B,38,3,37.837331,126.980999
리204-무명1교,양주시,C,38,3,37.870213,126.972257
마전2교,양주시,C,26,3,37.780366,127.048635
마전교,양주시,B,26,3,37.777446,127.052428
마전교,양주시,B,20,2,37.793703,127.048532
밤바위교,양주시,B,18,3,37.8489,126.964163
백석교,양주시,B,23,3,37.799488,126.994785
보막교,양주시,B,22,3,37.845326,126.966104
보막하교,양주시,B,16,3,37.843306,126.968668
복지교,양주시,B,22,3,37.786603,126.995234
부곡1 새마을교,양주시,B,21,3,37.722197,126.97514
삼숭교,양주시,B,13,3,37.800028,127.086593
상부곡2교,양주시,B,21,3,37.741786,126.978143
석우교,양주시,B,24,3,37.837229,126.974286
석현2교,양주시,B,23,3,37.737005,126.951402
선유교,양주시,C,27,3,37.788713,127.019271
섬말교,양주시,B,18,3,37.837771,126.97215
섬말대교,양주시,B,27,3,37.837543,126.972151
세동안교,양주시,B,24,3,37.866065,126.97571
송추교,양주시,B,29,3,37.7198,126.980183
시27-무명1교,고양시 덕양구,B,33,3,37.676082,126.912178
신성교,양주시,B,17,3,37.768951,127.044117
신지교,양주시,B,23,3,37.784388,126.99084
신천1교,양주시,A,2,2,37.888509,127.046495
신천교,양주시,C,31,2,37.864046,127.058
양축교,양주시,B,27,3,37.805594,127.082884
오봉교,양주시,B,22,3,37.702374,126.970647
용암1교,양주시,B,22,3,37.862631,127.041296
울대1교,양주시,B,21,3,37.719802,126.975043
울대2교,양주시,B,21,3,37.720594,126.983017
원당교,양주시,B,11,3,37.922429,126.986065
월령교,양주시,B,23,3,37.70806,126.934258
