교량명,시설물종별등급구분,시도명,시군구명,교량연장,교량폭,차로수,상부구조형식,최종안전점검결과,설계활하중,준공후경과년수,경간수,최대경간장,교통량
신봉2교,3,경기도,용인시 수지구,73.8,26.0,4,라멘교,B,DB-24,21,2.0,36.9,
신봉교,3,경기도,용인시 수지구,22.5,7.0,2,라멘교,B,DB-24,27,2.0,11.3,
신촌1교,3,경기도,용인시 수지구,26.0,40.0,4,RC슬래브교,B,DB-24,24,2.0,13.0,
신촌2교,3,경기도,용인시 수지구,26.0,26.0,4,RC슬래브교,B,DB-24,24,2.0,13.0,
신촌3교,3,경기도,용인시 수지구,27.0,31.0,4,RC슬래브교,B,DB-24,24,2.0,13.5,
안대지천교,3,경기도,용인시 수지구,22.0,20.6,4,라멘교,B,DB-24,19,2.0,11.0,
어청교,3,경기도,용인시 수지구,39.0,35.0,6,RC슬래브교,B,DB-24,23,3.0,13.0,
정평1교,3,경기도,용인시 수지구,30.0,121.5,4,라멘교,B,DB-24,20,2.0,15.0,
정평2교,3,경기도,용인시 수지구,30.0,18.8,3,PSCI거더교,B,DB-24,20,1.0,30.0,
정평교(구),3,경기도,용인시 수지구,57.5,11.0,2,RC슬래브교,B,DB-18,32,5.0,11.5,
풍덕천2교,3,경기도,용인시 수지구,30.0,10.0,2,RC슬래브교,B,DB-24,24,2.0,15.0,
풍덕천2교(풍덕공원옆),3,경기도,용인시 기흥구,82.0,11.2,2,프리플렉스거더교,B,DB-24,19,3.0,35.0,
선고개교,기타,경기도,파주시,18.0,10.0,2,RC슬래브교,A,DB-24,5,1.0,18.0,
갈현1교,3,경기도,파주시,32.0,19.0,4,RC슬래브교,B,DB-24,20,2.0,16.0,9364.0
교하교,1,경기도,파주시,210.0,20.0,4,강박스거더교,B,DB-24,27,5.0,50.0,
금파교,2,경기도,파주시,120.0,12.0,2,PSC박스거더교,B,DB-24,20,4.0,30.0,
금파교,기타,경기도,파주시,9.6,11.0,2,RC슬래브교,B,DB-24,23,1.0,9.6,
눌노교,기타,경기도,파주시,15.4,13.6,2,RC슬래브교,B,DB-24,24,1.0,15.4,0.0
다율교,3,경기도,파주시,12.0,8.0,2,RC슬래브교,C,DB-18,37,2.0,6.0,19792.0
덕천교,2,경기도,파주시,115.2,11.0,2,RC슬래브교,B,DB-24,36,8.0,15.0,
두포1교,3,경기도,파주시,50.0,10.0,2,RC슬래브교,B,DB-24,24,4.0,13.0,
두포2교,3,경기도,파주시,38.0,10.0,2,RC슬래브교,C,DB-24,54,3.0,13.0,
마지1교,3,경기도,파주시,38.0,25.0,4,RC슬래브교,B,DB-24,27,3.0,13.0,
만장교,2,경기도,파주시,112.0,10.0,3,RCT거더교,B,DB-13.5,40,7.0,16.0,
맥금교,3,경기도,파주시,28.0,19.0,4,RC슬래브교,C,DB-24,20,2.0,14.0,9364.0
삼박교,3,경기도,파주시,75.0,11.0,2,RC슬래브교,B,DB-24,29,6.0,15.0,
삽교교,3,경기도,파주시,42.0,25.0,4,RC슬래브교,B,DB-24,22,3.0,14.0,16348.0
순달교,3,경기도,파주시,24.0,17.0,4,RC슬래브교,C,DB-24,30,2.0,12.0,16348.0
봉일천2교,2,경기도,파주시,215.0,12.0,3,PSC박스거더교,B,DB-24,15,5.0,43.0,
중에교,기타,경기도,파주시,43.0,25.0,4,RC슬래브교,B,DB-24,23,3.0,15.0,5343.0
직천1교,3,경기도,파주시,36.0,10.0,2,라멘교,B,DB-24,29,3.0,12.0,
직천교,3,경기도,파주시,78.0,10.5,2,RC슬래브교,B,DB-24,27,6.0,15.0,
창만협동교,2,경기도,파주시,120.0,10.0,2,RC슬래브교,B,DB-24,18,8.0,15.0,
검산교,3,경기도,파주시,40.0,20.0,4,RC슬래브교,B,DB-24,20,3.0,17.0,9364.0
마장교,3,경기도,파주시,66.0,7.1,2,RC슬래브교,C,DB-24,52,6.0,11.5,
은석교,3,경기도,파주시,21.2,16.0,2,라멘교,B,DB-24,19,4.0,5.6,
다산교,3,경기도,파주시,28.5,13.0,2,라멘교,B,DB-24,20,6.0,4.8,
이석교,3,경기도,파주시,23.7,13.0,2,라멘교,B,DB-24,19,4.0,6.0,
노안교,3,경기도,파주시,33.3,13.0,2,라멘교,B,DB-24,20,7.0,6.0,
응칠교,3,경기도,파주시,80.1,26.0,5,RC슬래브교,B,DB-24,19,3.0,30.0,
심학교,기타,경기도,파주시,15.8,26.0,4,라멘교,B,DB-24,19,3.0,5.4,0.0
금촌교,2,경기도,파주시,50.0,39.3,4,RC슬래브교,B,DB-24,10,1.0,50.0,28573.0
신금촌교,3,경기도,파주시,40.0,26.0,4,프리플렉스거더교,B,DB-24,18,1.0,40.0,
당동2교,기타,경기도,파주시,44.0,8.0,2,라멘교,B,DB-24,23,3.0,24.0,0.0
선유과선교,3,경기도,파주시,42.0,20.0,4,프리플렉스거더교,B,DB-24,22,2.0,28.0,
문산1교,3,경기도,파주시,54.0,21.0,4,RC슬래브교,B,DB-24,23,4.0,13.5,
금촌제1교,3,경기도,파주시,25.0,21.0,4,RC슬래브교,C,DB-24,22,2.0,12.5,
아동제1교,3,경기도,파주시,36.0,8.0,2,RC슬래브교,B,DB-24,29,3.0,12.0,
장곡교,3,경기도,파주시,45.0,10.0,2,RC슬래브교,B,DB-24,22,3.0,17.0,
조산교,3,경기도,파주시,56.0,8.0,2,RC슬래브교,C,DB-24,22,4.0,14.0,
오두산1교,3,경기도,파주시,70.0,10.0,2,강박스거더교,C,DB-24,31,2.0,35.0,
오두산2교,1,경기도,파주시,98.0,10.0,2,강박스거더교,C,DB-24,31,2.0,57.6,
향양교,3,경기도,파주시,35.0,36.0,5,PSCI거더교,B,DB-24,15,1.0,35.0,
마산교,3,경기도,파주시,25.0,9.0,2,라멘교,C,DB-24,27,4.0,7.5,
대능교,3,경기도,파주시,37.0,11.0,2,RC슬래브교,B,DB-24,24,2.0,19.0,2656.0
비룡교,3,경기도,파주시,24.6,9.1,2,강I거더교,C,DB-13.5,56,2.0,12.3,
선유교,3,경기도,파주시,45.0,7.4,2,RC슬래브교,B,DB-24,29,3.0,15.0,5343.0
설마10교,기타,경기도,파주시,24.5,8.4,2,라멘교,B,DB-24,11,1.0,24.5,3624.0
설마11교,기타,경기도,파주시,18.0,8.4,2,라멘교,B,DB-24,11,1.0,18.0,3624.0
설마12교,기타,경기도,파주시,15.0,8.8,2,라멘교,B,DB-24,11,1.0,15.0,3624.0
설마13교,기타,경기도,파주시,12.0,10.9,2,라멘교,B,DB-24,11,1.0,12.0,3624.0
설마1교,3,경기도,파주시,24.0,8.8,2,강I거더교,C,DB-13.5,54,2.0,12.0,
설마2교,기타,경기도,파주시,7.0,10.9,2,라멘교,B,DB-24,11,1.0,7.0,3624.0
설마6교,기타,경기도,파주시,16.5,8.4,2,라멘교,B,DB-24,11,1.0,16.5,3624.0
설마7교,기타,경기도,파주시,17.0,8.4,2,라멘교,B,DB-24,11,1.0,17.0,3624.0
설마8교,기타,경기도,파주시,15.5,8.8,2,프리플렉스거더교,B,DB-24,11,1.0,15.5,3624.0
설마교,기타,경기도,파주시,18.0,11.0,2,RC슬래브교,B,DB-24,28,2.0,9.0,3624.0
설마교1,기타,경기도,파주시,31.0,11.2,2,RC슬래브교,B,DB-24,11,1.0,31.0,3624.0
연풍교,3,경기도,파주시,37.0,10.4,2,기타,B,DB-13.5,53,3.0,12.4,
통일교,3,경기도,파주시,22.0,10.8,2,RC슬래브교,B,DB-24,28,2.0,11.0,3624.0
호명교,3,경기도,파주시,24.0,11.0,2,RC슬래브교,B,DB-24,28,2.0,12.0,
광탄교,2,경기도,파주시,109.8,13.0,2,RC슬래브교,B,DB-24,27,6.0,19.0,18560.0
설마9교,기타,경기도,파주시,24.5,9.4,2,프리플렉스거더교,B,DB-24,11,1.0,24.5,3624.0
와석교,1,경기도,파주시,120.0,25.9,6,강박스거더교,B,DB-24,11,2.0,60.0,
가온교,1,경기도,파주시,70.0,36.0,6,사장교,B,DB-24,10,1.0,70.0,
상수1교,기타,경기도,양주시,25.0,26.8,4,프리플렉스거더교,B,DB-24,7,1.0,25.0,9874.0
문발램프A교,2,경기도,파주시,346.0,10.5,2,강박스거더교,B,DB-24,17,10.0,45.0,19792.0
금촌램프A교,2,경기도,파주시,305.0,26.4,4,강박스거더교,B,DB-24,17,7.0,45.0,23382.0
문발램프F교,2,경기도,파주시,115.0,7.5,1,강박스거더교,B,DB-24,17,3.0,45.0,19792.0
문발램프B교,2,경기도,파주시,290.0,7.5,1,강박스거더교,B,DB-24,17,9.0,40.0,19792.0
문발램프E교,2,경기도,파주시,115.0,11.0,2,강박스거더교,B,DB-24,17,3.0,45.0,19792.0
금촌램프D교,1,경기도,파주시,322.0,7.4,1,강박스거더교,B,DB-24,17,7.0,57.0,23382.0
문발교,2,경기도,파주시,102.0,23.0,3,강박스거더교,B,DB-18,17,3.0,40.0,19792.0
문발2교,3,경기도,파주시,40.0,26.4,6,프리플렉스거더교,B,DB-24,17,1.0,40.0,19792.0
와동1교,기타,경기도,파주시,30.0,19.5,4,프리플렉스거더교,B,DB-24,17,1.0,30.0,19792.0
와동2교,3,경기도,파주시,30.0,13.0,4,PSCI거더교,B,DB-24,17,1.0,30.0,23382.0
와동육교,1,경기도,파주시,180.0,23.4,4,강박스거더교,B,DB-24,17,4.0,50.0,23382.0
문발1교,3,경기도,파주시,26.0,23.0,4,프리플렉스거더교,B,DB-24,17,1.0,26.0,19792.0
교하2교,3,경기도,파주시,21.0,18.5,4,프리플렉스거더교,B,DB-24,17,2.0,10.5,19792.0
동패1교,2,경기도,파주시,120.0,42.9,10,기타,B,DB-24,12,3.0,40.0,44453.0
공릉천교,2,경기도,파주시,240.0,20.0,2,강박스거더교,C,DB-24,41,4.0,60.0,28573.0
파주운정지구 교량등소리2교,2,경기도,파주시,55.0,17.0,2,강박스거더교,B,DB-24,13,1.0,55.0,
가야교,3,경기도,파주시,42.0,10.0,2,RCT거더교,C,DB-24,40,3.0,14.0,
가월1교,3,경기도,파주시,58.0,14.0,2,RC슬래브교,B,DB-13.5,26,4.0,14.5,
곡릉수문교,2,경기도,파주시,300.0,9.0,2,PSCI거더교,B,DB-24,48,10.0,30.0,
교하신교,1,경기도,파주시,240.0,19.9,4,강박스거더교,B,DB-24,10,4.0,60.0,28573.0
능안교,3,경기도,파주시,56.0,13.0,2,기타,B,DB-24,17,2.0,28.0,
덕술교,3,경기도,파주시,25.0,8.0,2,라멘교,C,DB-24,23,2.0,12.5,
마정교,3,경기도,파주시,75.0,19.5,4,기타,B,DB-24,27,3.0,25.0,
무건교,3,경기도,파주시,60.0,6.0,2,RC슬래브교,B,DB-24,23,5.0,12.0,
방미교,3,경기도,파주시,41.0,9.0,2,RC슬래브교,B,DB-24,26,3.0,14.0,
삼방교,3,경기도,파주시,25.0,10.0,2,라멘교,B,DB-24,23,1.0,25.0,
신문산교,2,경기도,파주시,215.0,26.0,4,기타,B,DB-24,9,5.0,43.0,
아동교,3,경기도,파주시,20.0,26.0,4,RC슬래브교,B,DB-24,29,1.0,20.0,
야동교,3,경기도,파주시,29.0,12.4,2,기타,B,DB-24,15,1.0,29.0,
연풍2교,2,경기도,파주시,120.0,19.0,4,기타,B,DB-24,6,3.0,40.0,2656.0
오도교,1,경기도,파주시,240.0,24.9,4,강박스거더교,B,DB-24,9,4.0,65.0,11137.0
옥석교,3,경기도,파주시,135.0,8.0,2,RC슬래브교,B,DB-24,24,9.0,15.0,
전흥교,3,경기도,파주시,26.5,15.0,2,RC슬래브교,B,DB-24,27,2.0,13.3,4053.0
헤이리1교,3,경기도,파주시,23.0,7.5,2,기타,B,DB-24,22,2.0,11.5,
협동교,3,경기도,파주시,73.0,11.4,2,RC슬래브교,B,DB-24,41,6.0,13.0,
황룡과선교,2,경기도,파주시,197.0,4.0,2,강박스거더교,B,DB-24,9,5.0,40.0,
운정IC램프3교,1,경기도,파주시,100.0,11.9,2,기타,B,DB-24,12,2.0,50.0,44453.0
(구)어유1교,3,경기도,파주시,62.0,8.6,2,강플레이트거더교,C,기타,56,5.0,12.4,
마지2교,3,경기도,파주시,36.0,6.0,2,RC슬래브교,C,기타,38,3.0,12.0,
백석2교,3,경기도,파주시,50.0,10.0,2,RC슬래브교,C,DB-24,28,4.0,12.5,
아가메교,3,경기도,파주시,120.0,6.0,2,PSC슬래브교,C,기타,24,8.0,15.0,
백석새마을교,3,경기도,파주시,135.0,6.0,2,RC슬래브교,C,DB-18,24,9.0,15.0,
부곡교,3,경기도,파주시,105.0,6.0,2,RC슬래브교,C,DB-24,24,5.0,21.0,
연풍3교,3,경기도,파주시,60.0,6.0,2,RCT거더교,B,DB-24,22,5.0,12.0,
돈실교,3,경기도,이천시,23.0,11.0,2,라멘교,B,DB-24,24,2.0,12.0,7105.0
용마교,3,경기도,이천시,21.0,9.0,2,라멘교,C,DB-24,26,2.0,10.5,2827.0
장호원육교,1,경기도,이천시,120.0,17.5,4,강박스거더교,B,DB-24,27,3.0,50.0,5654.0
당왕고가차도,2,경기도,안성시,130.0,17.0,4,강박스거더교,B,DB-24,25,3.0,50.0,14095.0
금석교,3,경기도,안성시,56.0,10.0,2,RC슬래브교,B,DB-18,30,4.0,14.0,
사갑교,3,경기도,안성시,50.0,10.0,2,라멘교,B,DB-24,25,4.0,13.0,
옥천교,2,경기도,안성시,142.0,16.0,4,RC슬래브교,B,DB-24,27,10.0,14.0,2722.0
현수교,3,경기도,안성시,22.0,11.0,2,라멘교,B,DB-24,26,2.0,11.0,2722.0
양변교,기타,경기도,안성시,30.0,18.8,4,강박스거더교,B,DB-24,10,1.0,30.0,4702.0
가사교,3,경기도,안성시,30.0,20.0,4,라멘교,B,DB-18,16,2.0,15.0,14095.0
안성천교,2,경기도,안성시,175.0,9.0,2,PSC박스거더교,B,DB-24,27,9.0,20.0,4111.0
금석천교(천안),2,경기도,안성시,57.0,10.0,2,기타,B,DB-24,10,1.0,57.0,13742.0
금석천교(양성),2,경기도,안성시,57.0,10.0,2,기타,B,DB-24,10,1.0,57.0,13742.0
고삼대교,2,경기도,안성시,120.0,10.0,2,PSCI거더교,B,DB-24,31,4.0,30.0,
두메교,3,경기도,안성시,120.0,8.0,2,RCT거더교,B,DB-24,12,3.0,40.0,
고지2교,3,경기도,안성시,94.0,11.0,1,PSCI거더교,B,DB-24,16,3.0,30.0,
무능교,3,경기도,안성시,86.0,13.0,2,프리플렉스거더교,C,DB-24,15,4.0,21.0,
금광2교,3,경기도,안성시,70.0,12.0,2,RC슬래브교,C,DB-24,21,5.0,15.0,
고지교,3,경기도,안성시,67.0,10.0,1,RC슬래브교,C,DB-24,26,5.0,11.0,
관음교,3,경기도,안성시,58.0,15.0,2,RC슬래브교,C,DB-24,28,4.0,13.0,
마전교,3,경기도,안성시,51.0,6.0,1,라멘교,C,DB-24,20,3.0,17.0,
노곡2교,3,경기도,안성시,44.0,8.0,2,라멘교,C,DB-18,33,2.0,20.0,
도기교(도기1교),3,경기도,안성시,42.0,10.0,2,RC슬래브교,B,DB-24,27,3.0,13.0,
대농교,3,경기도,안성시,33.0,10.0,2,라멘교,B,DB-24,26,3.0,11.0,
강산교(강신교),3,경기도,안성시,40.0,6.0,1,라멘교,B,DB-24,27,3.0,13.0,
내가천교,3,경기도,안성시,38.0,9.0,2,RC슬래브교,C,DB-24,34,4.0,9.0,
내우교,3,경기도,안성시,38.0,5.0,1,RC슬래브교,A,DB-18,33,4.0,9.0,
곰다리교,3,경기도,안성시,29.0,10.0,2,라멘교,C,DB-24,25,2.0,14.0,
노곡교,3,경기도,안성시,34.0,8.0,2,RC슬래브교,C,DB-24,28,3.0,11.0,
보체교,3,경기도,안성시,32.0,6.0,1,라멘교,B,DB-24,27,3.0,10.0,
거운교,3,경기도,안성시,32.0,12.0,2,RC슬래브교,B,DB-24,26,2.0,26.0,
내리교,3,경기도,안성시,30.0,10.0,2,라멘교,B,DB-24,34,2.0,15.0,
불당교,3,경기도,안성시,25.0,9.0,2,프리플렉스거더교,B,DB-24,16,1.0,25.0,
기솔천교,3,경기도,안성시,22.0,10.0,2,PSC슬래브교,B,DB-24,14,1.0,22.0,
공도교,3,경기도,안성시,26.0,26.0,4,라멘교,C,DB-24,18,2.0,13.0,
복평교(복평1교),3,경기도,안성시,24.0,8.0,2,RC슬래브교,B,DB-24,21,2.0,12.0,
미산3교,3,경기도,안성시,24.0,11.0,2,라멘교,C,DB-24,31,4.0,6.0,
미산2교,3,경기도,안성시,25.0,15.0,1,라멘교,C,DB-24,5,6.0,4.0,
구수2교,3,경기도,안성시,21.0,7.0,1,RC슬래브교,B,DB-24,16,1.0,21.0,1967.0
동항교,3,경기도,안성시,20.0,11.0,2,RC슬래브교,B,DB-24,29,2.0,10.0,14170.0
양변1교,3,경기도,안성시,20.0,8.0,2,라멘교,B,DB-24,10,2.0,10.0,
화인텍교,3,경기도,안성시,31.6,13.5,2,라멘교,B,DB-24,18,2.0,15.8,4111.0
가현교,3,경기도,김포시,47.0,8.0,2,PSCI거더교,B,DB-24,25,3.0,16.0,5945.0
감암교,2,경기도,김포시,175.0,11.0,2,PSCI거더교,B,DB-24,27,7.0,25.0,4702.0
걸포교,3,경기도,김포시,28.0,27.9,6,프리플렉스거더교,B,DB-24,17,1.0,28.0,23929.0
계양천교(상),1,경기도,김포시,380.0,13.9,3,강박스거더교,B,DB-24,17,8.0,50.0,44004.0
계양천교(하),1,경기도,김포시,380.0,13.9,3,강박스거더교,B,DB-24,17,8.0,50.0,44004.0
고정교,기타,경기도,김포시,37.4,7.4,2,RC슬래브교,B,DB-18,33,4.0,9.5,
귀전교,3,경기도,김포시,30.0,9.8,2,라멘교,B,DB-18,33,9.0,3.3,0.0
북변교,3,경기도,김포시,45.1,27.9,6,프리플렉스거더교,B,DB-24,17,8.0,45.0,44004.0
사우1교,기타,경기도,김포시,17.0,4.2,1,RC슬래브교,B,DB-18,55,2.0,9.0,
운양교,3,경기도,김포시,45.1,27.9,6,강박스거더교,B,DB-24,17,1.0,45.0,23929.0
장기IC교,3,경기도,김포시,35.1,32.0,6,프리플렉스거더교,B,DB-24,17,1.0,35.0,23929.0
향산교,기타,경기도,김포시,31.5,4.0,1,RCT거더교,B,DB-18,55,3.0,11.0,
황금교,기타,경기도,김포시,24.0,13.0,4,라멘교,C,DB-24,29,2.0,12.0,
계양천1교(일산),1,경기도,김포시,475.0,14.2,3,강박스거더교,B,DB-24,9,9.0,60.0,23794.0
계양천1교(인천),1,경기도,김포시,470.0,14.2,3,강박스거더교,B,DB-24,14,9.0,60.0,23794.0
나진육교,1,경기도,김포시,90.0,29.9,6,아치교,E,DB-24,9,1.0,90.0,23794.0
감정1교,1,경기도,김포시,120.0,27.9,6,강박스거더교,B,DB-24,9,2.0,60.0,23794.0
대보천교,2,경기도,김포시,250.0,9.9,2,강박스거더교,B,DB-24,12,6.0,45.0,
장기IC고가차도교,1,경기도,김포시,110.0,20.3,4,사장교,B,DB-24,10,2.0,75.0,
풀잎교,1,경기도,김포시,90.0,20.9,4,사장교,B,DB-24,12,2.0,50.0,4702.0
운양IC램프E교,1,경기도,김포시,275.0,11.4,3,강박스거더교,B,DB-24,7,5.0,60.0,
운양육교,2,경기도,김포시,110.0,27.9,6,PSCI거더교,B,DB-24,7,3.0,47.0,
나진교,3,경기도,김포시,55.0,50.0,10,기타,B,DB-24,3,2.0,27.5,
화산교,3,경기도,화성시,39.0,45.0,4,RC슬래브교,C,DB-24,42,3.0,15.0,
대황교,기타,경기도,화성시,39.0,45.0,4,RC슬래브교,B,DB-24,42,3.0,15.0,44932.0
구문천교,3,경기도,화성시,40.0,11.0,2,RC슬래브교,B,DB-24,22,2.0,13.0,2030.0
반송교,2,경기도,화성시,102.0,9.0,2,RC슬래브교,B,DB-24,25,7.0,18.0,
병점육교,1,경기도,화성시,274.0,15.0,4,강박스거더교,B,DB-24,24,7.0,60.0,14915.0
송산교,2,경기도,화성시,100.0,25.0,4,RC슬래브교,C,DB-24,27,8.0,12.5,14915.0
호매실I.C교,3,경기도,화성시,30.0,24.8,4,PSCI거더교,B,DB-24,25,1.0,30.0,37341.0
동탄교,기타,경기도,화성시,45.0,38.3,2,프리플렉스거더교,B,DB-24,14,2.0,23.0,8576.0
송리교,기타,경기도,화성시,27.0,30.9,6,프리플렉스거더교,B,DB-24,14,1.0,27.0,7445.0
오일교,기타,경기도,화성시,26.0,9.9,2,RC슬래브교,B,DB-24,29,2.0,13.0,19017.0
하저교,3,경기도,화성시,45.0,9.0,2,RC중공슬래브교,B,DB-24,31,2.0,23.0,
고매1교(상),1,경기도,화성시,450.7,11.0,2,강박스거더교,B,DB-24,8,9.0,50.0,33407.0
고매1교(하),1,경기도,화성시,450.7,11.0,2,강박스거더교,B,DB-24,8,10.0,50.0,33407.0
벌말교,1,경기도,화성시,475.1,24.4,6,강박스거더교,B,DB-24,15,9.0,65.0,
청계교,2,경기도,화성시,141.0,37.5,8,프리플렉스거더교,B,DB-24,15,3.0,47.1,14915.0
반월고가교(상),1,경기도,화성시,400.0,17.4,2,강박스거더교,B,DB-24,9,8.0,63.0,21688.0
반월고가교(하),1,경기도,화성시,400.0,17.4,2,강박스거더교,B,DB-24,9,9.0,55.0,21688.0
동탄2교,2,경기도,화성시,51.5,36.5,6,프리플렉스거더교,B,DB-24,10,1.0,51.5,7445.0
남전천교,1,경기도,화성시,100.0,20.0,4,PSCI거더교,B,DB-24,6,2.0,50.0,10000.0
남전교,기타,경기도,화성시,22.4,38.9,4,라멘교,A,DB-24,6,1.0,22.4,10000.0
양노교,2,경기도,화성시,60.0,26.0,4,PSCI거더교,B,DB-24,6,1.0,60.0,
비봉교,기타,경기도,화성시,22.8,50.0,4,기타,A,DB-24,6,1.0,22.8,40000.0
양노1교,1,경기도,화성시,200.0,21.2,4,PSCI거더교,B,DB-24,6,4.0,50.0,50000.0
양노2교,2,경기도,화성시,60.0,20.9,4,PSCI거더교,B,DB-24,6,1.0,60.0,
양노3교,기타,경기도,화성시,11.2,32.3,4,기타,A,DB-24,6,1.0,11.2,50000.0
양노4교,기타,경기도,화성시,40.0,26.1,4,PSCI거더교,A,DB-24,6,1.0,40.0,50000.0
쌍학교,1,경기도,화성시,250.0,21.1,4,PSCI거더교,B,DB-24,6,5.0,50.0,50000.0
개무교,기타,경기도,화성시,15.8,55.0,8,기타,A,DB-24,6,1.0,15.8,50000.0
내리교,기타,경기도,화성시,15.0,52.0,4,RC박스거더교,A,DB-24,6,1.0,15.0,50000.0
원평교,기타,경기도,화성시,45.0,21.1,4,PSCI거더교,A,DB-24,6,1.0,45.0,50000.0
원평1교,2,경기도,화성시,60.0,21.1,4,PSCI거더교,B,DB-24,6,1.0,60.0,
천천교,1,경기도,화성시,394.0,21.1,4,강박스거더교,B,DB-24,6,7.0,69.0,50000.0
백학IC1교,기타,경기도,화성시,40.0,7.9,1,강박스거더교,A,DB-24,6,1.0,40.0,10000.0
샘내IC1교,1,경기도,화성시,167.5,7.9,1,강박스거더교,B,DB-24,6,3.0,67.5,10000.0
샘내IC2교,1,경기도,화성시,190.0,7.9,1,강박스거더교,B,DB-24,6,4.0,55.0,10000.0
천천IC1교,1,경기도,화성시,135.0,17.4,3,강박스거더교,B,DB-24,6,3.0,55.0,50000.0
천천IC2교,기타,경기도,화성시,15.0,24.8,2,라멘교,A,DB-24,6,1.0,15.0,25000.0
발안천교,2,경기도,화성시,175.0,20.9,4,PSCI거더교,B,DB-24,12,5.0,35.0,7283.0
상신교,3,경기도,화성시,36.0,13.8,2,라멘교,C,DB-18,23,3.0,7.2,
상신육교,1,경기도,화성시,515.0,27.9,8,강박스거더교,B,DB-24,12,11.0,60.0,
영남교,3,경기도,화성시,43.2,36.0,4,PSCI거더교,B,DB-24,7,1.0,43.2,8466.0
송방천3교,2,경기도,화성시,160.0,48.1,8,프리플렉스거더교,B,DB-24,5,4.0,44.0,14927.0
송방천4교,2,경기도,화성시,52.0,20.5,3,프리플렉스거더교,B,DB-24,5,1.0,52.0,14927.0
송방천5교,1,경기도,화성시,100.0,44.0,8,프리플렉스거더교,B,DB-24,5,2.0,50.0,14927.0
병점고가교,1,경기도,화성시,130.0,26.5,6,강박스거더교,B,DB-24,25,3.0,50.0,34355.0
수화1교,1,경기도,화성시,150.0,27.9,6,PSC슬래브교,B,DB-24,6,3.0,60.0,
시화교,2,경기도,화성시,276.0,36.0,6,기타,B,DB-24,6,6.0,46.0,15974.0
구양교,기타,경기도,광주시,40.8,19.5,4,PSCI거더교,B,DB-24,30,2.0,20.4,29011.0
곤지암교,기타,경기도,광주시,62.0,20.0,5,PSCI거더교,C,DB-24,31,2.0,31.0,66199.0
광주1육,기타,경기도,광주시,25.4,21.0,4,PSCI거더교,B,DB-18,45,1.0,25.4,
태전육교,기타,경기도,광주시,40.0,19.5,4,RC슬래브교,B,DB-24,26,3.0,13.4,38403.0
태전교,기타,경기도,광주시,30.0,62.0,6,라멘교,A,DB-24,10,2.0,15.0,60805.0
태전IC RAMP-B1교,1,경기도,광주시,140.0,8.0,1,강박스거더교,B,DB-24,10,3.0,55.0,60805.0
태전IC RAMP-B2교,기타,경기도,광주시,39.0,8.0,1,라멘교,A,DB-24,10,3.0,15.0,60805.0
태전IC RAMP-B3교,1,경기도,광주시,220.0,12.0,2,강박스거더교,B,DB-24,10,5.0,50.0,60805.0
태전IC RAMP-C교,1,경기도,광주시,140.0,8.0,1,강박스거더교,B,DB-24,10,3.0,55.0,60805.0
태전IC RAMP-D교,2,경기도,광주시,130.0,8.0,2,강박스거더교,B,DB-24,10,3.0,50.0,60805.0
태전IC RAMP-E교,1,경기도,광주시,120.0,8.0,1,강박스거더교,B,DB-24,10,3.0,50.0,60805.0
태전IC RAMP-G교,기타,경기도,광주시,80.0,8.0,1,강박스거더교,A,DB-24,10,2.0,40.0,60805.0
태봉육교,기타,경기도,광주시,40.1,31.0,6,RC슬래브교,A,DB-24,10,3.0,15.0,60805.0
태전IC교(상),1,경기도,광주시,285.0,18.0,3,강박스거더교,B,DB-24,10,5.0,65.0,60805.0
태전IC교(하),1,경기도,광주시,285.0,14.0,3,강박스거더교,B,DB-24,10,5.0,65.0,60805.0
탄벌교,기타,경기도,광주시,42.0,16.0,2,RC슬래브교,B,DB-24,29,3.0,14.0,7508.0
장심교,기타,경기도,광주시,16.0,8.5,2,RC슬래브교,C,DB-24,33,2.0,8.0,10866.0
장지IC RAMP교,1,경기도,광주시,240.0,7.9,1,강박스거더교,C,DB-24,15,4.0,65.0,60805.0
도평교,2,경기도,광주시,105.0,10.0,2,기타,B,DB-24,20,4.0,26.3,
태전IC 램프E2교,기타,경기도,광주시,30.0,29.2,2,PSCI거더교,A,DB-24,9,2.0,15.0,60805.0
광남교,2,경기도,광주시,340.0,27.9,6,PSCI거더교,A,DB-24,9,8.0,42.5,60805.0
직동교,기타,경기도,광주시,45.0,27.9,6,프리플렉스거더교,A,DB-24,10,1.0,45.0,60805.0
광남교(상행),2,경기도,광주시,340.0,17.9,3,PSCI거더교,B,DB-24,6,8.0,42.5,60805.0
광남교(하행),2,경기도,광주시,340.0,17.9,3,PSCI거더교,B,DB-24,6,8.0,42.5,60805.0
응달교,3,경기도,양주시,42.0,3.5,1,RC슬래브교,B,DB-24,27,3.0,14.0,
송추교,3,경기도,양주시,45.0,16.0,4,RCT거더교,B,DB-24,47,3.0,15.0,
장흥철도육교,2,경기도,양주시,297.0,18.0,4,강박스거더교,B,DB-24,27,7.0,45.0,
교현교,2,경기도,양주시,100.0,25.0,4,RC슬래브교,B,DB-24,25,7.0,15.0,
내촌교,3,경기도,양주시,68.0,20.0,2,RC슬래브교,B,DB-24,18,5.0,15.0,
덕계교,3,경기도,양주시,20.0,15.0,5,RC슬래브교,B,DB-24,23,4.0,5.0,35532.0
