교량명,시설물종별등급구분,시도명,시군구명,교량연장,교량폭,차로수,상부구조형식,최종안전점검결과,설계활하중,준공후경과년수,경간수,최대경간장,교통량
발안1육교,기타,경기도,화성시,15.0,19.5,4,라멘교,B,DB-24,21,1.0,15.0,29724.0
지월육교,기타,경기도,화성시,15.0,19.5,4,라멘교,B,DB-24,21,1.0,15.0,29724.0
구장육교,기타,경기도,화성시,15.0,19.5,4,라멘교,B,DB-24,21,1.0,15.0,29724.0
팔탄육교,3,경기도,화성시,40.0,19.5,4,강플레이트거더교,B,DB-24,21,1.0,40.0,29724.0
자안교,3,경기도,화성시,40.0,19.5,4,강플레이트거더교,B,DB-24,21,1.0,40.0,28089.0
자안1육교,3,경기도,화성시,30.0,23.5,5,PSCI거더교,C,DB-24,21,1.0,30.0,28089.0
자안2육교,3,경기도,화성시,45.0,19.5,4,강박스거더교,B,DB-24,21,1.0,45.0,28089.0
양노육교,기타,경기도,화성시,15.0,19.5,4,라멘교,B,DB-24,21,1.0,15.0,20219.0
양노1육교,3,경기도,화성시,25.0,19.5,4,PSCI거더교,B,DB-24,21,1.0,25.0,20219.0
양노2육교,기타,경기도,화성시,15.0,28.0,4,라멘교,B,DB-24,21,1.0,15.0,20219.0
쌍학1육교,3,경기도,화성시,40.0,23.5,5,RC슬래브교,C,DB-24,21,3.0,15.0,20219.0
쌍학1교,3,경기도,화성시,30.0,23.5,5,PSCI거더교,C,DB-24,21,1.0,30.0,20219.0
쌍학2교,3,경기도,화성시,30.0,7.5,1,PSCI거더교,C,DB-24,21,1.0,30.3,20219.0
쌍학2육교,2,경기도,화성시,120.0,23.5,5,PSCI거더교,B,DB-24,21,4.0,30.0,28826.0
쌍학3육교,2,경기도,화성시,50.1,19.5,4,강박스거더교,B,DB-24,21,1.0,50.1,28826.0
숙곡교,3,경기도,화성시,75.0,19.5,4,PSCI거더교,B,DB-24,21,3.0,25.0,28826.0
야목육교,3,경기도,화성시,90.0,19.5,4,강박스거더교,B,DB-24,21,2.0,45.0,28826.0
율암육교,3,경기도,화성시,40.0,27.5,6,프리플렉스거더교,B,DB-24,21,1.0,40.0,29724.0
향산교,3,경기도,김포시,20.0,27.9,6,라멘교,B,DB-24,20,2.0,10.0,44004.0
태리IC육교(상),3,경기도,김포시,40.0,14.0,3,강박스거더교,B,DB-24,20,1.0,40.0,44004.0
태리IC육교(하),3,경기도,김포시,40.0,18.0,4,강박스거더교,B,DB-24,20,1.0,40.0,44004.0
태리IC램프A교,3,경기도,김포시,39.9,17.5,3,RC슬래브교,B,DB-24,20,3.0,20.0,44004.0
태리IC램프D교,3,경기도,김포시,80.0,7.5,1,강박스거더교,B,DB-24,20,2.0,40.0,44004.0
장곡IC육교,3,경기도,김포시,45.0,13.2,2,강박스거더교,B,DB-24,20,1.0,45.0,44004.0
천둥IC육교,3,경기도,김포시,40.0,13.2,2,강박스거더교,B,DB-24,20,1.0,40.0,44004.0
모산고가차도,2,경기도,안성시,165.0,18.9,4,강박스거더교,B,DB-24,20,4.0,45.0,21577.0
오천교차1교,기타,경기도,이천시,12.0,11.0,2,RC슬래브교,B,DB-24,19,1.0,12.0,15314.0
오천교차2교,기타,경기도,이천시,12.0,11.0,2,RC슬래브교,B,DB-24,19,1.0,12.0,15314.0
이치1교,3,경기도,이천시,80.0,19.5,4,PSCI거더교,B,DB-24,19,2.0,40.0,15314.0
이치2교,3,경기도,이천시,40.0,19.5,4,PSCI거더교,B,DB-24,19,1.0,40.0,15314.0
도드람교차교,3,경기도,이천시,30.0,19.5,4,PSCI거더교,A,DB-24,19,1.0,30.0,15314.0
설서교,3,경기도,이천시,28.0,19.5,4,RC슬래브교,B,DB-24,19,2.0,14.0,15314.0
유산교차교,3,경기도,이천시,30.0,19.5,4,PSCI거더교,B,DB-24,19,1.0,30.0,15314.0
유산1교,3,경기도,이천시,30.0,19.5,4,PSCI거더교,B,DB-24,19,1.0,30.0,15314.0
유산2교,2,경기도,이천시,240.0,19.5,4,PSCI거더교,B,DB-24,19,8.0,30.0,15314.0
복하IC교,2,경기도,이천시,120.0,23.4,4,PSCI거더교,B,DB-24,19,3.0,40.0,15314.0
장서육교,3,경기도,안성시,90.0,19.5,4,PSCI거더교,B,DB-24,19,3.0,30.0,17117.0
이동교(상),2,경기도,안성시,120.0,17.3,4,PSCI거더교,B,DB-24,19,4.0,30.0,17117.0
이동교(하),2,경기도,안성시,120.0,17.3,4,PSCI거더교,B,DB-24,19,4.0,30.0,17117.0
묘봉교(상),2,경기도,용인시 처인구,180.0,9.8,2,PSCI거더교,B,DB-24,19,6.0,30.0,27169.0
묘봉교(하),2,경기도,용인시 처인구,180.0,9.8,2,PSCI거더교,B,DB-24,19,6.0,30.0,27169.0
묘봉육교,3,경기도,용인시 처인구,30.0,19.5,4,PSCI거더교,B,DB-24,19,1.0,30.0,27169.0
요덕교,2,경기도,용인시 처인구,150.0,19.5,4,PSCI거더교,B,DB-24,19,5.0,30.0,27169.0
