교량명,시설물종별등급구분,시도명,시군구명,교량시작점위도,교량시작점경도,교량종료점위도,교량종료점경도,교량연장,교량폭,차로수,상부구조형식,최종안전점검결과,설계활하중,준공후경과년수
안성천2교,1,경기도,평택시,36.976284,127.090594,36.980175,127.099906,941.6,19.5,4,강박스거더교,B,DB-24,23
월정육교,기타,경기도,안성시,37.08782,127.465346,37.08785,127.465496,12.0,24.7,4,라멘교,B,DB-24,25
청미교(상),2,경기도,안성시,37.094972,127.475273,37.0962,127.477121,212.8,10.8,2,PSCI거더교,B,DB-24,25
청미교(하),2,경기도,안성시,37.094968,127.475268,37.096194,127.477121,212.8,10.8,2,PSCI거더교,B,DB-24,25
행죽교,3,경기도,이천시,37.102592,127.519308,37.10268,127.519611,25.2,19.5,4,PSCI거더교,B,DB-24,25
행죽육교,기타,경기도,이천시,37.106566,127.534232,37.106577,127.534465,16.0,19.5,4,라멘교,B,DB-24,25
제요교,3,경기도,이천시,37.111509,127.552918,37.111473,127.553782,75.0,19.5,4,PSCI거더교,B,DB-24,25
제요1교,3,경기도,이천시,37.110955,127.556468,37.110887,127.556745,25.2,19.5,4,PSCI거더교,C,DB-24,25
대서육교,기타,경기도,이천시,37.108947,127.565709,37.108932,127.565915,15.0,19.5,4,라멘교,B,DB-24,25
후포교,3,경기도,여주시,37.350688,127.602253,37.350963,127.601577,60.2,21.0,4,PSCI거더교,B,DB-24,24
초현교,3,경기도,여주시,37.36936,127.584194,37.37002,127.583539,90.3,21.0,4,PSCI거더교,B,DB-24,24
이호대교,1,경기도,여주시,37.283658,127.674422,37.283641,127.684646,910.0,21.0,4,강박스거더교,B,DB-24,24
이호육교,3,경기도,여주시,37.283316,127.690969,37.283289,127.691293,30.0,26.0,4,프리플렉스거더교,B,DB-24,24
강천육교,기타,경기도,여주시,37.283005,127.694753,37.282979,127.69515,18.0,21.0,4,라멘교,B,DB-24,24
간매육교,3,경기도,여주시,37.274035,127.711277,37.273947,127.711709,40.0,21.0,4,프리플렉스거더교,B,DB-24,24
부평교,3,경기도,여주시,37.273802,127.743269,37.273793,127.743604,21.7,69.0,4,라멘교,B,DB-24,24
한평교,2,경기도,안성시,37.106555,127.433259,37.107595,127.432782,120.4,19.5,4,PSCI거더교,B,DB-24,28
방초교,3,경기도,안성시,37.111533,127.429893,37.111849,127.429652,40.0,19.5,4,RC슬래브교,B,DB-24,27
고안육교,기타,경기도,용인시 처인구,37.133822,127.404286,37.13392,127.404157,15.0,19.5,4,라멘교,C,DB-24,27
백봉교,3,경기도,용인시 처인구,37.135071,127.402497,37.13521,127.40228,25.0,19.5,4,라멘교,A,DB-24,27
원대교,3,경기도,용인시 처인구,37.155549,127.384865,37.155911,127.384686,42.1,19.5,4,RC슬래브교,B,DB-24,25
백암교,3,경기도,용인시 처인구,37.167768,127.378963,37.168093,127.378717,43.0,29.0,7,RC슬래브교,B,DB-24,25
근곡교,3,경기도,용인시 처인구,37.170216,127.364223,37.170229,127.363933,25.0,19.5,4,라멘교,B,DB-24,27
두창육교,3,경기도,용인시 처인구,37.176113,127.340778,37.176469,127.340402,50.0,19.5,4,라멘교,B,DB-24,27
능교,3,경기도,용인시 처인구,37.185987,127.330272,37.186126,127.330124,20.0,19.5,4,라멘교,B,DB-24,27
희곡육교,2,경기도,평택시,36.971234,126.870734,36.971461,126.871233,50.1,27.6,4,강박스거더교,B,DB-24,23
양지고가차도,1,경기도,용인시 처인구,37.234072,127.296139,37.235302,127.29821,230.0,16.5,4,강박스거더교,B,DB-24,24
석근육교,기타,경기도,평택시,36.936761,127.045028,36.936989,127.045063,15.0,19.5,4,라멘교,B,DB-24,23
추팔육교,기타,경기도,평택시,36.966954,127.071085,36.967151,127.071229,15.0,19.5,4,라멘교,B,DB-24,23
내리고가차도,2,경기도,안성시,37.012191,127.224813,37.013819,127.228847,405.7,17.4,4,강박스거더교,B,DB-24,22
오산육교,기타,경기도,용인시 처인구,37.330901,127.148311,37.330893,127.148453,12.0,22.5,5,라멘교,B,DB-24,22
양촌교,3,경기도,용인시 처인구,37.330161,127.155365,37.330191,127.155714,30.0,19.5,4,PSCI거더교,B,DB-24,22
능원교,2,경기도,용인시 처인구,37.338796,127.171456,37.339159,127.173092,150.0,19.5,4,PSCI거더교,B,DB-24,22
능원육교,3,경기도,용인시 처인구,37.339463,127.176394,37.33948,127.176732,30.0,19.5,4,PSCI거더교,B,DB-24,22
동림육교,2,경기도,용인시 처인구,37.340126,127.191157,37.340181,127.191712,50.0,27.5,6,강박스거더교,B,DB-24,22
문형교,1,경기도,광주시,37.341474,127.19692,37.342856,127.200371,340.0,19.5,4,강박스거더교,B,DB-24,22
문형2교,2,경기도,광주시,37.347343,127.209728,37.347912,127.210876,120.0,27.5,6,PSCI거더교,B,DB-24,22
문형육교,3,경기도,광주시,37.34867,127.212386,37.348819,127.212707,30.0,19.5,4,PSCI거더교,B,DB-24,22
추자육교,2,경기도,광주시,37.362241,127.229666,37.362669,127.229894,50.1,19.5,4,강박스거더교,B,DB-24,22
오포육교,3,경기도,광주시,37.370704,127.23404,37.37113,127.234276,50.0,19.5,4,PSCI거더교,B,DB-24,22
진암교,3,경기도,이천시,37.105885,127.613184,37.106215,127.612851,30.0,19.4,4,라멘교,B,DB-24,21
진암1교,3,경기도,이천시,37.114664,127.605492,37.115055,127.605384,45.0,26.8,6,강박스거더교,B,DB-24,21
진암2교,기타,경기도,이천시,37.116048,127.605194,37.116349,127.605159,15.0,19.4,4,라멘교,B,DB-24,21
진암3교,3,경기도,이천시,37.115467,127.606889,37.114598,127.607135,80.0,6.9,1,강박스거더교,B,DB-24,21
제암육교,2,경기도,화성시,37.117477,126.900494,37.117926,126.900446,50.1,19.5,4,강박스거더교,B,DB-24,21
발안교,2,경기도,화성시,37.124115,126.898918,37.125828,126.898398,195.0,19.5,4,강박스거더교,B,DB-24,21
제암1육교,3,경기도,화성시,37.128009,126.897751,37.128272,126.897662,30.0,28.0,6,PSCI거더교,B,DB-24,21
발안1육교,기타,경기도,화성시,37.133418,126.895848,37.133647,126.895754,15.0,19.5,4,라멘교,B,DB-24,21
지월육교,기타,경기도,화성시,37.143457,126.892568,37.143727,126.89249,15.0,19.5,4,라멘교,B,DB-24,21
구장육교,기타,경기도,화성시,37.154231,126.891905,37.154502,126.891851,15.0,19.5,4,라멘교,B,DB-24,21
팔탄육교,3,경기도,화성시,37.169333,126.890498,37.169688,126.890359,40.0,19.5,4,강플레이트거더교,B,DB-24,21
자안교,3,경기도,화성시,37.194605,126.879201,37.194964,126.879112,40.0,19.5,4,강플레이트거더교,B,DB-24,21
자안1육교,3,경기도,화성시,37.197673,126.878777,37.197957,126.878756,30.0,23.5,5,PSCI거더교,C,DB-24,21
자안2육교,3,경기도,화성시,37.200035,126.878684,37.200435,126.878673,45.0,19.5,4,강박스거더교,B,DB-24,21
양노육교,기타,경기도,화성시,37.216463,126.872888,37.216595,126.872888,15.0,19.5,4,라멘교,B,DB-24,21
양노1육교,3,경기도,화성시,37.223317,126.875712,37.223531,126.875835,25.0,19.5,4,PSCI거더교,B,DB-24,21
양노2육교,기타,경기도,화성시,37.226713,126.877398,37.226845,126.877457,15.0,28.0,4,라멘교,B,DB-24,21
쌍학1육교,3,경기도,화성시,37.243679,126.890021,37.243997,126.890249,40.0,23.5,5,RC슬래브교,C,DB-24,21
쌍학1교,3,경기도,화성시,37.244267,126.890433,37.244545,126.890615,30.0,23.5,5,PSCI거더교,C,DB-24,21
쌍학2교,3,경기도,화성시,37.244389,126.890336,37.244626,126.8905,30.0,7.5,1,PSCI거더교,C,DB-24,21
쌍학2육교,2,경기도,화성시,37.246503,126.891943,37.247543,126.892685,120.0,23.5,5,PSCI거더교,B,DB-24,21
쌍학3육교,2,경기도,화성시,37.248452,126.893294,37.24885,126.893576,50.1,19.5,4,강박스거더교,B,DB-24,21
숙곡교,3,경기도,화성시,37.25114,126.895273,37.251693,126.895764,75.0,19.5,4,PSCI거더교,B,DB-24,21
야목육교,3,경기도,화성시,37.253836,126.898001,37.254449,126.898658,90.0,19.5,4,강박스거더교,B,DB-24,21
율암육교,3,경기도,화성시,37.155364,126.891721,37.155848,126.891614,40.0,27.5,6,프리플렉스거더교,B,DB-24,21
향산교,3,경기도,김포시,37.619238,126.740559,37.619106,126.740677,20.0,27.9,6,라멘교,B,DB-24,20
태리IC육교(상),3,경기도,김포시,37.610553,126.741227,37.610236,126.741393,40.0,14.0,3,강박스거더교,B,DB-24,20
태리IC육교(하),3,경기도,김포시,37.610519,126.741082,37.610184,126.741235,40.0,18.0,4,강박스거더교,B,DB-24,20
태리IC램프A교,3,경기도,김포시,37.610344,126.740132,37.610365,126.740593,39.9,17.5,3,RC슬래브교,B,DB-24,20
태리IC램프D교,3,경기도,김포시,37.610502,126.740092,37.610969,126.740704,80.0,7.5,1,강박스거더교,B,DB-24,20
장곡IC육교,3,경기도,김포시,37.60612,126.74756,37.606494,126.747753,45.0,13.2,2,강박스거더교,B,DB-24,20
천둥IC육교,3,경기도,김포시,37.603792,126.762095,37.604259,126.762219,40.0,13.2,2,강박스거더교,B,DB-24,20
모산고가차도,2,경기도,안성시,37.020483,127.241802,37.021453,127.243246,165.0,18.9,4,강박스거더교,B,DB-24,20
